"w","e"
0.2,10
0.20725,10
0.2145,10
0.22175,10
0.229,10
0.23625,10
0.2435,10
0.25075,10
0.258,10
0.26525,10
0.2725,10
0.27975,10
0.287,10
0.29425,10
0.3015,10
0.30875,10
0.316,10
0.32325,10
0.3305,10
0.33775,10
0.345,10
0.35225,10
0.3595,10
0.36675,10
0.374,10
0.38125,10
0.3885,10
0.39575,10
0.403,10
0.41025,9.96892138939671
0.4175,9.77844311377246
0.42475,9.59446733372572
0.432,9.41666666666667
0.43925,9.24473534433694
0.4465,9.07838745800672
0.45375,8.91735537190083
0.461,8.76138828633406
0.46825,8.61025093432995
0.4755,8.46372239747634
0.48275,8.32159502848265
0.49,8.18367346938776
0.49725,8.04977375565611
0.5045,7.9197224975223
0.51175,7.7933561309233
0.519,7.67052023121387
0.52625,7.55106888361045
0.5335,7.4348641049672
0.54075,7.32177531206657
0.548,7.21167883211679
0.55525,7.10445745159838
0.5625,7
0.56975,6.89820096533567
0.577,6.79896013864818
0.58425,6.70218228498075
0.5915,6.60777683854607
0.59875,6.51565762004175
0.606,6.42574257425743
0.61325,6.33795352629433
0.6205,6.2522159548751
0.62775,6.16845878136201
0.635,6.08661417322835
0.64225,6.00661736084079
0.6495,5.9284064665127
0.65675,5.85192234488009
0.664,5.77710843373494
0.67125,5.70391061452514
0.6785,5.63227708179808
0.68575,5.56215822092599
0.693,5.49350649350649
0.70025,5.42627632988218
0.7075,5.36042402826855
0.71475,5.29590766002099
0.722,5.23268698060942
0.72925,5.17072334590333
0.7365,5.10997963340122
0.74375,5.05042016806723
0.751,4.99201065246338
0.75825,4.93471810089021
0.7655,4.87851077726976
0.77275,4.8233581365254
0.78,4.76923076923077
0.78725,4.71610034931724
0.7945,4.66393958464443
0.80175,4.61272217025257
0.809,4.56242274412855
0.81625,4.51301684532925
0.8235,4.46448087431694
0.83075,4.41679205537165
0.838,4.36992840095466
0.84525,4.32386867790594
0.8525,4.27859237536657
0.85975,4.23407967432393
0.867,4.19031141868512
0.87425,4.14726908778953
0.8815,4.10493477027794
0.88875,4.06329113924051
0.896,4.02232142857143
0.90325,3.98200941046222
0.9105,3.94233937397035
0.91775,3.90329610460365
0.925,3.86486486486486
0.93225,3.82703137570394
0.9395,3.78978179882916
0.94675,3.753102719831
0.954,3.71698113207547
0.96125,3.6814044213264
0.9685,3.64636035105834
0.97575,3.61183704842429
0.983,3.57782299084435
0.99025,3.54430699318354
0.9975,3.51127819548872
1.00475,3.47872605125653
1.012,3.44664031620553
1.01925,3.41501103752759
1.0265,3.38382854359474
1.03375,3.35308343409915
1.041,3.32276657060519
1.04825,3.29286906749344
1.0555,3.26338228327807
1.06275,3.23429781227946
1.07,3.20560747663551
1.07725,3.17730331863541
1.0845,3.149377593361
1.09175,3.12182276162125
1.099,3.09463148316652
1.10625,3.06779661016949
1.1135,3.04131118096093
1.12075,3.01516841400848
1.128,2.98936170212766
1.13525,2.96388460691478
1.1425,2.93873085339169
1.14975,2.91389432485323
1.157,2.88936905790838
1.16425,2.86514923770668
1.1715,2.84122919334187
1.17875,2.81760339342524
1.186,2.79426644182125
1.19325,2.77121307353866
1.2005,2.74843815077051
1.20775,2.7259366590768
1.215,2.7037037037037
1.22225,2.68173450603395
1.2295,2.66002440016267
1.23675,2.63856882959369
1.244,2.61736334405145
1.25125,2.5964035964036
1.2585,2.57568533969011
1.26575,2.5552044242544
1.273,2.53495679497251
1.28025,2.51493848857645
1.2875,2.49514563106796
1.29475,2.47557443521915
1.302,2.45622119815668
1.30925,2.43708229902616
1.3165,2.41815419673376
1.32375,2.39943342776204
1.331,2.3809166040571
1.33825,2.3626004109845
1.3455,2.34448160535117
1.35275,2.32655701349104
1.36,2.30882352941176
1.36725,2.29127811300055
1.3745,2.27391778828665
1.38175,2.25673964175864
1.389,2.23974082073434
1.39625,2.22291853178156
1.4035,2.20627003918775
1.41075,2.18979266347687
1.418,2.17348377997179
1.42525,2.15734081740046
1.4325,2.1413612565445
1.43975,2.12554262892863
1.447,2.10988251554941
1.45425,2.09437854564208
1.4615,2.07902839548409
1.46875,2.06382978723404
1.476,2.04878048780488
1.48325,2.0338783077701
1.4905,2.01912110030191
1.49775,2.00450676014021
1.505,1.99003322259136
1.51225,1.97569846255579
1.5195,1.96150049358342
1.52675,1.94743736695595
1.534,1.93350717079531
1.54125,1.91970802919708
1.5485,1.90603810138844
1.55575,1.89249558090953
1.563,1.87907869481766
1.57025,1.86578570291355
1.5775,1.85261489698891
1.58475,1.83956460009465
1.592,1.82663316582915
1.59925,1.81381897764577
1.6065,1.80112044817927
1.61375,1.78853601859024
1.621,1.77606415792721
1.62825,1.76370336250576
1.6355,1.75145215530419
1.64275,1.73930908537513
1.65,1.72727272727273
1.65725,1.7153416804948
1.6645,1.70351456893962
1.67175,1.69179004037685
1.679,1.6801667659321
1.68625,1.66864343958488
1.6935,1.65721877767936
1.70075,1.64589151844774
1.708,1.63466042154567
1.71525,1.62352426759948
1.7225,1.61248185776488
1.72975,1.60153201329672
1.737,1.59067357512953
1.74425,1.57990540346854
1.7515,1.56922637739081
1.75875,1.55863539445629
1.766,1.54813137032843
1.77325,1.53771323840406
1.7805,1.5273799494524
1.78775,1.51713047126276
1.795,1.50696378830084
1.80225,1.49687890137328
1.8095,1.48687482730036
1.81675,1.47695059859639
1.824,1.4671052631579
1.83125,1.45733788395904
1.8385,1.44764753875442
1.84575,1.4380333197887
1.853,1.42849433351322
1.86025,1.4190297003091
1.8675,1.40963855421687
1.87475,1.40032004267236
1.882,1.39107332624867
1.88925,1.38189757840413
1.8965,1.37279198523596
1.90375,1.36375574523966
1.911,1.35478806907378
1.91825,1.34588817933012
1.9255,1.33705531030901
1.93275,1.32828870779977
1.94,1.31958762886598
1.94725,1.31095134163564
1.9545,1.30237912509593
1.96175,1.29387026889257
1.969,1.28542407313357
1.97625,1.27703984819734
1.9835,1.268716914545
1.99075,1.26045460253673
1.998,1.25225225225225
2.00525,1.24410921331505
2.0125,1.2360248447205
2.01975,1.22799851466766
2.027,1.22002960039467
2.03425,1.2121174880177
2.0415,1.20426157237325
2.04875,1.19646125686394
2.056,1.18871595330739
2.06325,1.18102508178844
2.0705,1.17338807051437
2.07775,1.1658043556732
2.085,1.15827338129496
2.09225,1.15079459911578
2.0995,1.14336746844487
2.10675,1.13599145603418
2.114,1.1286660359508
2.12125,1.12139068945197
2.1285,1.11416490486258
2.13575,1.10698817745523
2.143,1.09986000933271
2.15025,1.09277990931287
2.1575,1.08574739281576
2.16475,1.07876198175309
2.172,1.07182320441989
2.17925,1.06493059538832
2.1865,1.05808369540361
2.19375,1.05128205128205
2.201,1.044525215811
2.20825,1.03781274765085
2.2155,1.031144211239
2.22275,1.02451917669553
2.23,1.01793721973094
2.23725,1.01139792155548
2.2445,1.00490086879038
2.25175,0.998445653380704
2.259,0.99203187250996
2.26625,0.985659128516271
2.2735,0.979327028810205
2.28075,0.973035185794147
2.288,0.966783216783217
2.29525,0.960570743927676
2.3025,0.954397394136808
2.30975,0.948262799004221
2.317,0.94216659473457
2.32425,0.936108422071636
2.3315,0.93008792622775
2.33875,0.924104756814538
2.346,0.918158567774936
2.35325,0.912249017316477
2.3605,0.906375767845795
2.36775,0.90053848590434
2.375,0.894736842105263
2.38225,0.888970511071466
2.3895,0.883239171374765
2.39675,0.877542505476166
2.404,0.871880199667221
2.41125,0.866251944012442
2.4185,0.860657432292744
2.42575,0.855096361949913
2.433,0.849568434032059
2.44025,0.844073353140047
2.4475,0.838610827374872
2.45475,0.833180568285976
2.462,0.827782290820471
2.46925,0.822415713273261
2.4765,0.817080557238038
2.48375,0.811776547559134
2.491,0.806503412284223
2.49825,0.801260882617832
2.5055,0.796048692875673
2.51275,0.790866580439757
2.52,0.785714285714286
2.52725,0.780591552082303
2.5345,0.775498125863089
2.54175,0.770433756270286
2.549,0.765398195370734
2.55625,0.76039119804401
2.5635,0.755412521942657
2.57075,0.750461927453078
2.578,0.745539177657099
2.58525,0.740644038294169
2.5925,0.735776277724205
2.59975,0.730935666891047
2.607,0.726121979286536
2.61425,0.721334990915176
2.6215,0.716574480259393
2.62875,0.711840228245364
2.636,0.707132018209408
2.64325,0.702449635864939
2.6505,0.697792869269949
2.65775,0.693161508795033
2.665,0.688555347091932
2.67225,0.683974179062588
2.6795,0.679417801828699
2.68675,0.674886014701777
2.694,0.670378619153675
2.70125,0.665895418787598
2.7085,0.661436219309581
2.71575,0.657000828500414
2.723,0.652589056188028
2.73025,0.64820071422031
2.7375,0.643835616438356
2.74475,0.63949357865015
2.752,0.635174418604651
2.75925,0.630877955966295
2.7665,0.626604012289897
2.77375,0.622352410995944
2.781,0.618122977346278
2.78825,0.613915538420156
2.7955,0.609729923090681
2.80275,0.605565962001606
2.81,0.601423487544484
2.81725,0.597302333836188
2.8245,0.59320233669676
2.83175,0.589123333627615
2.839,0.585065163790067
2.84625,0.58102766798419
2.8535,0.577010688628001
2.86075,0.573014069736957
2.868,0.569037656903766
2.87525,0.565081297278498
2.8825,0.561144839549003
2.88975,0.55722813392162
2.897,0.553331032102175
2.90425,0.549453387277266
2.9115,0.545595054095827
2.91875,0.541755888650963
2.926,0.537935748462064
2.93325,0.534134492457172
2.9405,0.53035198095562
2.94775,0.52658807565092
2.955,0.522842639593909
2.96225,0.519115537176133
2.9695,0.515406634113487
2.97675,0.511715797430083
2.984,0.508042895442359
2.99125,0.504387797743418
2.9985,0.500750375187594
3.00575,0.497130499875239
3.013,0.493528045137737
3.02025,0.489942885522722
3.0275,0.486374896779521
3.03475,0.482823955844798
3.042,0.479289940828402
3.04925,0.475772730999426
3.0565,0.472272206772452
3.06375,0.468788249694002
3.071,0.465320742429176
3.07825,0.461869568748477
3.0855,0.458434613514827
3.09275,0.455015762670762
3.1,0.451612903225806
3.10725,0.448225923244026
3.1145,0.444854711831755
3.12175,0.44149915912549
3.129,0.438159156279962
3.13625,0.434834595456357
3.1435,0.431525369810721
3.15075,0.428231373482504
3.158,0.424952501583281
3.16525,0.421688650185609
3.1725,0.418439716312057
3.17975,0.415205597924365
3.187,0.411986193912771
3.19425,0.408781404085466
3.2015,0.405591129158207
3.20875,0.402415270744059
3.216,0.399253731343284
3.22325,0.396106414333359
3.2305,0.39297322395914
3.23775,0.389854065323141
3.245,0.386748844375963
3.25225,0.383657467906834
3.2595,0.380579843534284
3.26675,0.377515879696946
3.274,0.374465485644472
3.28125,0.371428571428571
